=====================================Elevator E0 =========================================
410 7 picksup:P5 
412 6 goesdown 
416 5 drops:P5 
418 4 goesdown 
415 8 picksup:P18 
415 8 drops:P11 
417 7 goesdown 
407 8 drops:P16 
407 8 stops 
418 5 drops:P18 
418 5 stops 
420 4 drops:P15 
420 4 stops 
418 3 picksup:P2 
420 2 goesdown 
424 1 drops:P19 
426 2 goesup 
433 8 picksup:P0 
435 7 goesdown 
435 7 drops:P0 
435 7 stops 
437 7 picksup:P3 
439 6 goesdown 
451 2 drops:P3 
451 2 stops 
444 7 drops:P2 
444 7 stops 
435 1 picksup:P14 
437 2 goesup 
439 8 picksup:P16 
441 7 goesdown 
445 6 drops:P16 
445 6 stops 
445 4 picksup:P15 
447 5 goesup 
449 5 drops:P14 
449 5 stops 
448 9 picksup:P7 
450 8 goesdown 
450 8 drops:P7 
450 8 stops 
446 9 picksup:P9 
448 8 goesdown 
460 4 drops:P9 
460 4 stops 
452 7 drops:P15 
452 7 stops 
448 5 picksup:P18 
450 4 goesdown 
454 3 drops:P18 
454 3 stops 
453 8 picksup:P11 
455 7 goesdown 
455 7 drops:P11 
455 7 stops 
464 12 picksup:P12 
466 11 goesdown 
470 10 picksup:P6 
472 9 goesdown 
477 3 drops:P12 
477 3 stops 
475 1 picksup:P19 
477 2 goesup 
479 1 drops:P6 
479 1 stops 
495 11 picksup:P8 
497 10 goesdown 
511 5 drops:P8 
511 5 stops 
483 4 picksup:P17 
485 5 goesup 
500 3 picksup:P12 
502 4 goesup 
532 11 drops:P12 
532 11 stops 
495 7 picksup:P0 
497 8 goesup 
498 9 drops:P19 
500 10 goesup 
510 12 drops:P17 
510 12 stops 
505 8 picksup:P13 
507 9 goesup 
513 10 drops:P13 
513 10 stops 
510 12 drops:P0 
510 12 stops 
512 6 picksup:P16 
514 7 goesup 
519 3 picksup:P18 
521 4 goesup 
528 2 picksup:P3 
530 3 goesup 
521 10 drops:P16 
521 10 stops 
519 7 picksup:P15 
521 8 goesup 
528 8 drops:P18 
528 8 stops 
514 8 drops:P15 
516 7 goesdown 
526 4 picksup:P9 
528 5 goesup 
534 6 drops:P9 
534 6 stops 
541 4 picksup:P4 
543 5 goesup 
533 7 picksup:P2 
535 8 goesup 
553 12 drops:P2 
553 12 stops 
546 9 drops:P3 
546 9 stops 
543 9 picksup:P19 
545 8 goesdown 
545 10 picksup:P16 
547 9 goesdown 
561 4 drops:P16 
561 4 stops 
553 9 drops:P4 
553 9 stops 
554 3 drops:P19 
554 3 stops 
571 1 picksup:P6 
573 2 goesup 
573 11 picksup:P12 
575 10 goesdown 
586 12 picksup:P0 
568 12 picksup:P17 
569 11 goesdown 
578 3 drops:P12 
578 3 stops 
579 8 drops:P0 
581 7 goesdown 
581 7 drops:P17 
581 7 stops 
574 7 picksup:P11 
576 6 goesdown 
605 12 drops:P6 
605 12 stops 
582 5 picksup:P5 
584 6 goesup 
602 10 drops:P5 
602 10 stops 
590 1 drops:P11 
590 1 stops 
592 8 picksup:P18 
594 9 goesup 
604 11 drops:P18 
604 11 stops 
599 3 picksup:P12 
601 2 goesdown 
605 1 drops:P12 
605 1 stops 
601 10 picksup:P13 
603 11 goesup 
609 12 drops:P13 
609 12 stops 
609 9 picksup:P3 
611 8 goesdown 
625 3 drops:P3 
625 3 stops 
614 4 picksup:P16 
616 5 goesup 
612 6 drops:P16 
612 6 stops 
614 12 picksup:P2 
616 11 goesdown 
628 7 drops:P2 
628 7 stops 
622 8 picksup:P0 
624 7 goesdown 
615 5 picksup:P14 
617 6 goesup 
627 8 drops:P14 
627 8 stops 
615 8 picksup:P7 
617 9 goesup 
631 12 drops:P7 
631 12 stops 
617 5 drops:P0 
617 5 stops 
639 12 picksup:P10 
641 11 goesdown 
639 9 picksup:P4 
641 8 goesdown 
649 6 drops:P4 
649 6 stops 
634 7 drops:P10 
634 7 stops 
641 8 picksup:P15 
643 7 goesdown 
639 11 picksup:P18 
641 10 goesdown 
659 3 drops:P18 
659 3 stops 
656 12 picksup:P6 
658 11 goesdown 
662 10 drops:P6 
662 10 stops 
654 2 drops:P15 
654 2 stops 
658 5 picksup:P8 
660 6 goesup 
660 6 drops:P8 
660 6 stops 
658 7 picksup:P17 
660 6 goesdown 
664 5 drops:P17 
664 5 stops 
665 6 picksup:P9 
667 7 goesup 
660 6 picksup:P16 
662 5 goesdown 
670 3 drops:P16 
670 3 stops 
676 5 picksup:P0 
678 4 goesdown 
681 10 picksup:P5 
683 9 goesdown 
680 12 drops:P9 
680 12 stops 
680 10 picksup:P6 
682 9 goesdown 
681 2 picksup:P15 
683 1 goesdown 
683 1 drops:P0 
685 2 goesup 
680 7 drops:P5 
682 6 goesdown 
686 5 picksup:P17 
688 4 goesdown 
684 12 picksup:P9 
686 11 goesdown 
698 7 drops:P9 
698 7 stops 
682 8 drops:P6 
682 8 stops 
687 3 picksup:P19 
689 4 goesup 
690 2 drops:P17 
690 2 stops 
693 6 picksup:P4 
695 7 goesup 
707 12 picksup:P13 
709 11 goesdown 
696 6 drops:P15 
698 7 goesup 
716 11 drops:P19 
716 11 stops 
693 3 picksup:P18 
695 4 goesup 
709 7 picksup:P10 
711 8 goesup 
717 9 drops:P18 
719 10 goesup 
719 10 drops:P10 
719 10 stops 
703 9 drops:P4 
703 9 stops 
715 7 picksup:P2 
717 6 goesdown 
717 6 drops:P2 
717 6 stops 
718 4 drops:P13 
718 4 stops 
741 1 picksup:P11 
743 2 goesup 
746 1 picksup:P0 
748 2 goesup 
782 10 drops:P0 
782 10 stops 
747 7 picksup:P9 
749 8 goesup 
767 12 drops:P9 
767 12 stops 
757 11 picksup:P19 
759 10 goesdown 
767 8 drops:P19 
767 8 stops 
748 3 picksup:P3 
750 4 goesup 
750 4 drops:P3 
750 4 stops 
754 7 drops:P11 
754 7 stops 
742 4 picksup:P13 
744 5 goesup 
752 6 picksup:P8 
754 7 goesup 
756 10 picksup:P10 
758 11 goesup 
758 11 drops:P10 
758 11 stops 
756 3 picksup:P16 
758 4 goesup 
764 11 drops:P8 
764 11 stops 
765 8 picksup:P14 
767 7 goesdown 
775 5 drops:P14 
775 5 stops 
760 2 picksup:P17 
762 3 goesup 
772 5 drops:P16 
774 4 goesdown 
784 1 drops:P17 
784 1 stops 
774 12 drops:P13 
774 12 stops 
780 6 picksup:P15 
782 5 goesdown 
790 3 drops:P15 
790 3 stops 
794 7 picksup:P5 
796 6 goesdown 
806 3 drops:P5 
806 3 stops 
797 8 picksup:P6 
799 7 goesdown 
792 9 picksup:P18 
794 8 goesdown 
798 7 drops:P18 
798 7 stops 
798 4 picksup:P3 
800 3 goesdown 
808 1 drops:P6 
820 12 picksup:P9 
822 11 goesdown 
805 8 picksup:P19 
807 9 goesup 
810 12 drops:P19 
810 12 stops 
818 10 picksup:P0 
820 9 goesdown 
828 7 drops:P0 
828 7 stops 
823 1 drops:P9 
823 1 stops 
817 9 picksup:P4 
819 8 goesdown 
830 7 picksup:P11 
832 6 goesdown 
846 1 drops:P11 
846 1 stops 
841 11 drops:P3 
841 11 stops 
832 1 drops:P4 
832 1 stops 
836 5 picksup:P14 
838 6 goesup 
829 11 picksup:P10 
831 10 goesdown 
841 7 drops:P10 
843 6 goesdown 
858 12 picksup:P7 
860 11 goesdown 
835 7 picksup:P18 
835 7 drops:P14 
837 6 goesdown 
837 6 drops:P18 
837 6 stops 
843 12 picksup:P19 
845 11 goesdown 
853 9 drops:P7 
854 9 drops:P19 
853 9 stops 
838 6 picksup:P2 
840 5 goesdown 
840 5 drops:P2 
840 5 stops 
852 1 picksup:P17 
854 2 goesup 
857 4 drops:P17 
857 4 stops 
860 12 picksup:P13 
861 11 goesdown 
869 9 drops:P13 
869 9 stops 
870 11 picksup:P3 
872 10 goesdown 
870 11 picksup:P8 
872 10 goesdown 
